Date,Close,High,Low,Open,Volume,MA_20,MA_50,Daily_Range,Daily_Return
2020-01-02,72.46826171875,72.52858156247073,71.22325926076245,71.4765996590847,135480400.0,,,1.3053223017082871,
2020-01-03,71.76371765136719,72.52374615608241,71.53932961570813,71.6961597256872,146322800.0,,,0.9844165403742835,-0.009722105245426715
2020-01-06,72.33556365966797,72.37416924858576,70.63454677653742,70.88547942287144,118387200.0,,,1.7396224720483389,0.007968455746382164
2020-01-07,71.9953384399414,72.60094451443848,71.77577337938688,72.34518902923438,108872000.0,,,0.8251711350516047,-0.004703429440700679
2020-01-08,73.15348815917969,73.45508735263148,71.6985739444987,71.6985739444987,132079200.0,,,1.7565134081327756,0.016086454266819095
2020-01-09,74.70734405517578,74.90036463569696,73.87975745537804,74.13068273740295,170108400.0,,,1.020607180318919,0.021241036279978198
2020-01-10,74.87625122070312,75.44085163405205,74.37439318616097,74.94140138707824,140644800.0,,,1.0664584478910797,0.0022609178209118674
2020-01-13,76.47589874267578,76.50244329938738,75.07406634437707,75.19229822984673,121532000.0,,,1.4283769550103074,0.02136388368666564
2020-01-14,75.4432601928711,76.62312029300726,75.32021267462692,76.41320833979648,161954400.0,,,1.3029076183803454,-0.01350279717900782
2020-01-15,75.11992645263672,76.12364962606802,74.68803427101611,75.24298130114484,121923600.0,,,1.4356153550519082,-0.004285786953105775
2020-01-16,76.06090545654297,76.17189926714461,75.3008769215495,75.66279597280943,108829200.0,,,0.871022345595108,0.01252635683155967
2020-01-17,76.90299224853516,76.90540003571786,76.00301736044453,76.30943957331336,137816400.0,,,0.9023826752733299,0.01107121703242564
2020-01-21,76.3818130493164,76.97294309653658,76.24428203921465,76.53140508279039,110843200.0,,,0.7286610573219292,-0.006777099095629513
2020-01-22,76.65446472167969,77.20698922015548,76.56036222573736,76.8667843985574,101832400.0,,,0.6466269944181136,0.003569588904458687
2020-01-23,77.02362823486328,77.10324719984139,76.15984382890906,76.70755279875391,104472000.0,,,0.9434033709323302,0.004815942744156754
2020-01-24,76.80166625976562,78.01288652872607,76.611053419846,77.26974901302752,146537600.0,,,1.4018331088800693,-0.002881738762303465
2020-01-27,74.54327392578125,75.22367624090043,73.56126499598109,74.81109052667422,161940000.0,,,1.6624112449193404,-0.029405512197428596
2020-01-28,76.65203094482422,76.82333720742922,75.32499462968462,75.42392003858633,162234000.0,,,1.4983425777445945,0.028289031430824174
