Date,Close,High,Low,Open,Volume
2020-01-02,72.46826171875,72.52858156247073,71.22325926076245,71.4765996590847,135480400.0
2020-01-03,71.76371765136719,72.52374615608241,71.53932961570813,71.6961597256872,146322800.0
2020-01-06,72.33556365966797,72.37416924858576,70.63454677653742,70.88547942287144,118387200.0
2020-01-07,71.9953384399414,72.60094451443848,71.77577337938688,72.34518902923438,108872000.0
2020-01-08,73.15348815917969,73.45508735263148,71.6985739444987,71.6985739444987,132079200.0
2020-01-09,74.70734405517578,74.90036463569696,73.87975745537804,74.13068273740295,170108400.0
2020-01-10,74.87625122070312,75.44085163405205,74.37439318616097,74.94140138707824,140644800.0
2020-01-13,76.47589874267578,76.50244329938738,75.07406634437707,75.19229822984673,121532000.0
2020-01-14,75.4432601928711,76.62312029300726,75.32021267462692,76.41320833979648,161954400.0
2020-01-15,75.11992645263672,76.12364962606802,74.68803427101611,75.24298130114484,121923600.0
2020-01-16,76.06090545654297,76.17189926714461,75.3008769215495,75.66279597280943,108829200.0
2020-01-17,76.90299224853516,76.90540003571786,76.00301736044453,76.30943957331336,137816400.0
2020-01-21,76.3818130493164,76.97294309653658,76.24428203921465,76.53140508279039,110843200.0
2020-01-22,76.65446472167969,77.20698922015548,76.56036222573736,76.8667843985574,101832400.0
2020-01-23,77.02362823486328,77.10324719984139,76.15984382890906,76.70755279875391,104472000.0
2020-01-24,76.80166625976562,78.01288652872607,76.611053419846,77.26974901302752,146537600.0
2020-01-27,74.54327392578125,75.22367624090043,73.56126499598109,74.81109052667422,161940000.0
2020-01-28,76.65203094482422,76.82333720742922,75.32499462968462,75.42392003858633,162234000.0
2020-01-29,78.25654602050781,79.1034389225781,77.54236118317645,78.28309057876027,216229200.0
2020-01-30,78.14312744140625,78.19620918311081,76.90777857620189,77.33967059446812,126743200.0
2020-01-31,74.67839050292969,77.85603612229534,74.38402933624978,77.43379716634335,199588400.0
2020-02-03,74.47327423095703,75.63865008225116,72.91943485372464,73.42129258895172,173788400.0
2020-02-04,76.93193054199219,77.12254331082424,75.67245190422207,76.07779948888638,136616400.0
2020-02-05,77.55925750732422,78.35789164403798,76.95605907395962,78.0587002140709,118826800.0
2020-02-06,78.46646118164062,78.4688763315637,77.27213272836197,77.82948747921107,105425600.0
2020-02-07,77.39989471435547,78.2149347676415,76.90893545307632,77.96582750464246,117684000.0
2020-02-10,77.76751708984375,77.76751708984375,75.90526089218041,75.98506881434587,109348800.0
2020-02-11,77.2983169555664,78.33586413946524,77.08065162389036,78.26331148915241,94323200.0
2020-02-12,79.13396453857422,79.13879892072599,77.74815014590597,77.74815014590597,113730400.0
2020-02-13,78.5704574584961,78.8969591321478,78.20284507837152,78.40599987113015,94747600.0
2020-02-14,78.58981323242188,78.83892050632156,78.08192253766144,78.53901899642953,80113600.0
2020-02-18,77.15078735351562,77.33217635199567,76.08905353965851,76.27044253813855,152531200.0
2020-02-19,78.26813507080078,78.49789739964547,77.39263210107522,77.39263210107522,93984000.0
2020-02-20,77.46520233154297,78.517260139207,76.95973247404322,78.02872169520079,100566000.0
2020-02-21,75.71175384521484,77.50146427081181,75.09503429364842,77.05887104659352,129554000.0
2020-02-24,72.11541748046875,73.56652927707171,69.95084681231108,71.8929178048686,222195200.0
2020-02-25,69.67272186279297,73.16748626275555,69.20111488480276,72.7853633450679,230673600.0
2020-02-26,70.77798461914062,72.04287320574078,69.29059633111234,69.2978515957081,198054800.0
2020-02-27,66.15133666992188,69.16965138753342,66.01590018074076,67.9845784168311,320605600.0
2020-02-28,66.11265563964844,67.33401260273769,62.0035927413547,62.21884455259078,426510000.0
2020-03-02,72.26779174804688,72.90386365568166,67.16713422063305,68.26997869246647,341397200.0
2020-03-03,69.97262573242188,73.52301148955354,69.12130192834442,73.4432035732901,319475600.0
2020-03-04,73.21826171875,73.3778849017667,70.89406787161629,71.69459728745565,219178400.0
2020-03-05,70.8432846069336,72.44675702043206,70.47808575850526,71.47209384482164,187572800.0
2020-03-06,69.90248107910156,70.33539821217181,68.01603849038064,68.2022618674925,226176800.0
2020-03-09,64.37374877929688,67.25662042749718,63.6070747073531,63.78846370366684,286744800.0
